X	e1g_0	e2g_0	e3g_0	p1g_1	p2g_1	p3g_1
ACER1	0	0	0	0	0	0
ACER2	0	0	0	0	0	0
ACER3	57	6	6	116	102	66
ACHE	0	1	1	7	2	2
ACIN1	399	73	115	578	574	424
ACKR1	0	0	0	0	0	0
ACKR2	0	0	0	0	0	0
ACKR3	29	3	9	11	13	12
ACKR4	0	0	0	0	0	0
ACLY	1049	157	413	788	605	601
ACMSD	0	0	0	0	0	0
ACO1	150	14	30	216	191	123
ACO2	812	124	236	886	731	584
ACOD1	0	0	0	4	0	1
ACOT1	10	1	0	38	23	17
ACOT11	2	0	1	7	5	2
ACOT12	0	0	0	0	0	0
ACOT13	66	12	7	155	106	76
ACOT2	5	4	1	50	120	66
ACOT4	0	0	1	0	0	0
ACOT6	3	0	0	1	1	1
ACOT7	314	36	67	259	155	140
ACOT8	24	5	9	37	37	26
ACOT9	74	5	7	158	93	58
ACOX1	140	23	44	438	254	200
ACOX2	10	2	1	14	16	7
ACOX3	35	4	6	129	60	43
ACOXL	0	0	0	0	0	0
ACP1	125	28	61	125	129	150
ACP2	61	18	30	170	135	105
ACP5	48	4	0	45	38	23
ACP6	56	8	9	153	91	50
ACP7	0	0	0	0	0	0
ACPP	0	0	0	4	0	0
ACPT	0	0	1	0	2	1
ACR	0	0	0	0	0	0
ACRBP	2	1	6	14	22	12
ACRV1	0	0	1	0	0	0
ACSBG1	31	6	8	1	3	1
ACSBG2	0	0	0	0	0	0
ACSF2	118	10	11	156	85	64
ACSF3	47	6	18	55	33	20
ACSL1	56	8	30	78	50	63
ACSL3	217	34	73	300	291	291
ACSL4	287	55	115	619	360	360
ACSL5	571	44	131	469	276	275
ACSL6	11	0	0	8	5	7
ACSM1	0	0	0	0	0	0
ACSM3	1	0	0	1	1	0
ACSM4	0	0	0	2	0	0
ACSM5	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0
ACSS2	217	99	170	92	83	80
ACSS3	0	0	0	0	0	0
ACTA1	0	0	0	2	1	1
ACTA2	2	0	0	0	0	1
ACTB	6555	2844	5155	6275	5281	6146
ACTBL2	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0
ACTG1	5478	1618	2541	7374	6990	6495
ACTG2	0	0	0	1	0	0
ACTL10	1	0	1	0	2	0
ACTL6A	120	26	61	174	129	139
ACTL6B	0	0	0	0	0	0
ACTL7A	2	0	0	2	0	0
ACTL7B	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0
ACTN1	1064	235	576	1455	1098	1204
ACTN2	0	0	0	0	0	0
ACTN3	1	1	0	1	2	0
ACTN4	2006	496	1287	1614	1283	1175
ACTR10	158	39	61	265	230	182
ACTR1A	267	61	129	436	295	258
ACTR1B	318	53	91	642	413	322
ACTR2	521	107	250	836	717	654
ACTR3	731	183	400	657	692	744
ACTR3B	0	0	0	2	0	2
ACTR5	28	6	18	72	58	33
ACTR6	30	7	16	47	30	21
ACTR8	104	25	30	130	68	63
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACTRT3	0	0	1	0	0	1
ACVR1	83	16	22	232	154	148
ACVR1B	30	16	26	111	62	46
ACVR1C	0	0	0	0	0	0
ACVR2A	35	13	32	120	100	94
ACVR2B	17	1	1	62	35	11
ACVRL1	1	0	0	3	2	2
ACY1	50	13	12	67	54	56
ACY3	7	1	2	8	5	3
ACYP1	34	5	20	57	40	36
ACYP2	2	0	2	9	9	8
ADA	7	3	1	5	6	2
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	13	0	2	21	21	8
ADAM10	259	55	137	524	301	285
ADAM11	6	1	0	4	2	4
