X	e1g_0	e2g_0	e3g_0	p1g_1	p2g_1	p3g_1
TFPT	33	8	18	50	25	35
TFR2	0	0	1	0	1	0
TFRC	260	39	110	210	417	227
TG	0	0	0	0	0	1
TGDS	58	5	5	79	51	46
TGFA	223	26	73	221	104	75
TGFB1	526	148	227	408	225	165
TGFB1I1	0	0	0	3	2	1
TGFB2	5	0	2	32	16	14
TGFB3	121	19	84	270	128	113
TGFBI	5	9	19	17	9	12
TGFBR1	103	21	38	800	255	202
TGFBR2	223	32	62	550	366	251
TGFBR3	128	11	33	975	299	170
TGFBR3L	4	0	1	18	3	3
TGFBRAP1	56	10	25	138	113	85
TGIF1	210	43	104	578	380	299
TGIF2	51	2	8	75	50	53
TGM1	1	2	4	2	3	5
TGM2	174	15	13	232	100	55
TGM3	0	0	1	0	0	0
TGM4	2	0	0	3	1	1
TGM5	0	0	0	0	0	0
TGM6	0	0	0	0	0	0
TGM7	0	0	1	0	0	0
TGS1	34	2	9	61	76	47
TH	1	0	0	0	0	0
THADA	63	10	15	101	75	53
THAP1	25	3	4	40	37	20
THAP11	77	23	33	157	100	91
THAP2	28	3	10	102	61	53
THAP3	64	7	9	117	87	40
THAP4	168	36	63	262	174	128
THAP7	38	15	25	55	42	43
THAP8	0	2	0	0	0	0
THBD	0	0	5	4	2	1
THBS1	170	26	68	324	150	214
THBS2	202	106	237	249	115	165
THBS3	27	15	28	101	68	46
THBS4	0	0	0	0	0	0
THEG	0	0	0	0	0	0
THEGL	0	0	0	0	0	1
THEM4	4	3	3	11	5	4
THEM5	0	0	0	0	0	0
THEM6	7	1	1	15	4	8
THEMIS	0	0	0	0	0	0
THEMIS2	0	0	0	0	0	1
THG1L	53	2	4	53	28	27
THNSL1	19	2	6	28	23	18
THNSL2	5	2	8	2	3	2
THOC1	61	19	39	90	79	83
THOC2	104	22	99	214	156	117
THOC3	119	24	42	109	62	94
THOC5	135	17	25	185	145	139
THOC6	85	13	33	59	51	78
THOC7	219	36	50	202	146	114
THOP1	156	27	21	158	136	65
THPO	0	0	0	1	0	0
THRA	205	64	186	368	303	255
THRAP3	444	48	125	699	521	486
THRB	0	0	0	0	1	0
THRSP	0	0	0	0	0	0
THSD1	3	0	1	7	3	2
THSD4	11	0	0	41	47	17
THSD7A	0	0	0	0	0	0
THSD7B	0	0	0	0	1	0
THTPA	49	12	26	92	62	51
THUMPD1	87	13	17	139	111	108
THUMPD2	12	1	0	22	11	13
THUMPD3	64	22	32	101	80	57
THY1	0	0	0	0	0	0
THYN1	48	10	12	53	74	77
TIA1	79	10	34	173	161	107
TIAL1	188	74	144	283	234	197
TIAM1	98	10	29	246	138	117
TIAM2	81	15	36	137	128	97
TICAM1	30	4	8	89	40	31
TICAM2	0	0	0	0	0	0
TICRR	76	2	18	25	68	45
TIE1	0	0	0	0	0	0
TIFA	21	1	1	92	52	45
TIFAB	0	0	0	0	0	0
TIGAR	14	0	1	38	31	27
TIGD2	29	5	1	44	36	24
TIGD3	0	0	0	6	9	9
TIGD4	0	0	0	0	0	0
TIGD5	1	1	0	7	4	3
TIGIT	39	1	3	14	6	7
TIMD4	0	0	0	0	0	0
TIMELESS	166	19	29	70	117	83
TIMM10	19	11	10	51	49	43
TIMM10B	30	7	5	49	36	21
TIMM13	178	39	47	224	186	154
TIMM17A	138	19	41	178	146	142
TIMM17B	63	11	27	95	60	53
TIMM21	24	4	3	30	15	14
TIMM22	60	15	17	85	88	60
TIMM23	167	10	20	182	250	224
TIMM44	225	38	47	331	242	158
TIMM50	105	17	30	135	130	122
TIMM8B	64	19	26	94	89	72
TIMM9	66	17	37	74	65	85
TIMMDC1	48	4	4	59	39	14
TIMP1	143	37	62	159	79	82
TIMP2	1715	499	698	3762	2063	1880
TIMP3	0	0	1	0	0	0
TIMP4	0	0	0	0	0	0
TINAG	0	0	0	0	0	0
TINAGL1	1143	27	96	444	250	203
TINF2	77	7	9	52	54	50
TIPARP	147	28	103	247	162	152
TIPIN	111	5	20	77	84	59
TIPRL	124	19	30	213	197	154
TIRAP	105	10	23	149	142	87
TJAP1	246	29	56	339	304	224
TJP1	270	42	98	477	288	252
TJP2	184	19	52	103	52	61
TJP3	4	3	5	9	4	1
TK1	536	27	59	123	139	85
TK2	29	4	10	77	41	28
TKFC	49	9	13	67	37	23
TKT	1911	350	635	1813	1758	1515
TKTL1	0	0	0	1	2	1
TKTL2	0	0	0	0	0	0
TLCD1	64	4	16	58	33	51
TLCD2	12	0	0	12	9	2
TLDC1	46	4	9	67	33	28
TLDC2	0	0	0	0	0	0
TLE1	43	2	4	124	92	55
TLE2	29	18	17	194	51	35
TLE3	190	54	127	534	331	342
TLE4	10	4	10	15	17	23
TLE6	37	3	3	79	41	20
TLK1	137	28	58	242	196	165
TLK2	153	25	45	270	244	214
TLL1	0	0	0	0	1	0
TLL2	0	0	0	0	0	0
TLN1	1225	188	461	1632	935	859
TLN2	86	14	46	223	134	99
TLR1	2	0	0	4	5	1
TLR2	22	3	3	145	39	37
TLR3	19	3	3	45	40	20
TLR4	34	1	6	176	59	41
TLR5	16	1	1	33	16	9
TLR6	6	0	2	16	9	6
TLR7	0	1	0	0	0	0
TLR8	0	0	0	0	0	0
TLR9	0	0	0	0	0	0
TLX1	0	0	0	0	0	0
TLX2	0	0	0	0	0	0
TLX3	7	0	0	2	3	1
TM2D1	36	8	24	49	43	39
TM2D2	54	9	16	122	100	79
TM2D3	22	4	6	59	38	32
TM4SF1	601	44	76	735	327	225
TM4SF19	0	0	0	0	1	0
TM4SF20	0	0	0	0	0	0
TM4SF4	0	0	0	0	0	0
TM4SF5	0	0	0	0	0	0
TM6SF1	1	0	0	0	0	0
TM6SF2	1	0	0	2	2	2
TM7SF2	36	4	16	17	14	9
TM7SF3	70	8	7	112	94	54
TM9SF1	210	27	60	324	243	205
TM9SF2	373	57	135	710	552	434
TM9SF3	551	105	268	680	495	421
TM9SF4	169	40	94	348	251	215
TMA16	35	2	9	54	71	56
TMA7	96	4	16	92	70	82
TMBIM1	249	36	34	651	405	278
TMBIM4	73	10	18	249	137	113
TMBIM6	606	93	142	943	569	544
TMC1	0	0	0	0	0	0
TMC2	0	0	0	0	0	0
TMC3	0	0	1	0	3	2
TMC4	56	5	6	125	63	31
TMC5	0	0	0	0	0	0
TMC6	96	18	23	142	74	36
TMC7	0	0	0	1	0	0
TMC8	3	1	0	4	0	2
TMCC1	38	11	25	75	52	53
TMCC2	2	4	15	3	4	8
TMCC3	78	7	28	85	91	73
TMCO1	83	15	27	137	95	102
TMCO2	0	0	0	0	0	0
TMCO3	41	5	15	150	67	59
TMCO4	19	2	4	35	28	39
TMCO6	51	2	13	35	18	12
TMED1	70	20	32	144	104	68
TMED10	606	120	212	889	611	607
TMED2	481	100	160	557	466	424
TMED3	119	26	24	202	107	70
TMED4	210	68	130	647	389	297
TMED5	88	10	23	171	182	122
TMED6	0	0	0	0	0	0
TMED7	202	20	43	304	256	204
TMED8	22	3	9	60	52	46
TMED9	327	90	150	583	488	369
TMEFF1	16	2	2	33	46	39
TMEFF2	0	0	0	0	0	0
TMEM100	0	0	0	0	0	0
TMEM101	48	14	24	74	41	57
TMEM102	14	2	1	43	18	7
TMEM104	28	6	11	64	39	34
TMEM106A	16	6	4	26	17	10
TMEM106B	117	9	29	343	195	162
TMEM106C	40	6	6	85	52	39
TMEM107	32	4	8	20	21	22
TMEM108	3	0	2	1	0	0
TMEM109	173	13	29	226	176	132
TMEM11	249	74	136	281	273	286
TMEM110	39	14	20	96	68	63
TMEM114	0	0	0	0	0	0
TMEM115	78	16	41	158	129	106
TMEM116	1	0	2	4	5	2
TMEM117	0	0	0	1	0	0
TMEM119	1	1	7	0	0	0
TMEM120A	91	23	45	122	72	56
TMEM120B	5	1	7	15	12	9
TMEM121	33	27	38	21	25	14
TMEM123	178	13	17	317	233	144
TMEM125	4	0	0	0	0	0
TMEM126A	46	3	1	56	51	39
TMEM126B	14	3	3	23	33	31
TMEM127	124	18	35	258	151	127
TMEM128	96	17	17	99	87	81
TMEM129	89	25	54	141	123	71
TMEM130	0	0	0	0	0	0
TMEM131	304	25	72	558	382	284
TMEM132A	408	77	140	681	396	275
TMEM132B	0	0	0	0	2	1
TMEM132C	0	0	0	0	0	0
TMEM132D	0	0	0	0	0	0
TMEM132E	0	0	0	0	0	0
TMEM135	61	18	27	83	68	51
TMEM136	0	0	0	0	0	0
TMEM138	27	2	5	38	20	24
TMEM139	0	0	0	0	0	0
TMEM140	6	4	0	63	20	24
TMEM141	15	2	2	23	23	9
TMEM143	38	8	8	46	23	24
TMEM144	3	1	0	8	4	1
TMEM145	0	0	1	0	0	0
TMEM147	70	36	50	51	77	63
TMEM14A	18	11	14	18	11	9
TMEM14C	131	25	27	216	152	116
TMEM150A	20	13	20	34	25	31
TMEM150B	1	0	0	2	0	0
TMEM150C	0	0	0	0	0	0
TMEM151A	7	6	9	1	5	6
TMEM151B	0	0	0	0	0	0
TMEM154	4	0	0	24	8	2
TMEM156	0	0	0	0	0	0
TMEM158	13	1	2	27	20	7
TMEM159	20	9	17	25	24	10
TMEM160	44	13	22	66	71	62
TMEM161A	106	12	18	238	176	110
TMEM161B	27	11	27	43	60	41
TMEM163	0	0	0	0	0	0
TMEM164	56	14	17	120	57	62
TMEM165	88	20	31	157	136	96
TMEM167B	54	6	14	118	87	64
TMEM168	36	3	14	74	43	36
TMEM169	1	0	2	0	0	0
TMEM17	3	0	0	4	5	5
TMEM170B	18	6	6	47	49	33
TMEM171	52	2	4	18	12	16
TMEM173	70	2	9	197	80	57
TMEM174	0	0	0	0	0	0
TMEM175	62	10	6	65	42	28
TMEM176A	138	7	6	340	118	89
TMEM176B	273	24	11	756	271	160
TMEM177	24	2	8	35	19	23
TMEM178B	0	0	0	0	1	0
TMEM179	2	0	0	0	0	0
TMEM18	44	5	6	62	56	34
TMEM182	0	0	0	0	0	0
TMEM183A	167	33	67	220	195	162
TMEM184A	7	2	2	31	15	8
TMEM184B	282	30	63	324	184	159
TMEM184C	57	11	11	81	73	31
TMEM185A	42	10	30	91	63	47
TMEM185B	48	3	21	63	57	44
TMEM186	29	2	6	43	31	26
TMEM189	71	17	41	223	120	139
TMEM19	41	6	10	91	56	40
TMEM190	2	0	0	2	1	4
TMEM191C	10	0	1	16	8	7
TMEM192	56	7	6	89	66	51
TMEM196	0	0	0	0	0	0
TMEM198	3	1	1	3	1	0
TMEM199	84	14	31	125	100	87
TMEM2	110	12	23	152	67	50
TMEM200A	0	0	0	0	0	0
TMEM200B	5	0	0	2	1	0
TMEM200C	0	0	0	0	0	0
TMEM201	131	9	21	164	123	120
TMEM202	0	0	0	0	0	0
TMEM203	23	2	0	48	21	17
TMEM204	3	1	1	0	1	0
TMEM205	61	9	3	79	67	44
TMEM206	59	13	17	142	89	76
TMEM207	0	0	0	0	0	0
TMEM208	59	11	37	95	54	49
TMEM209	85	15	24	120	122	69
TMEM210	0	0	0	0	0	0
TMEM211	1	0	0	0	0	0
TMEM212	0	0	0	5	1	0
TMEM213	0	0	0	0	0	0
TMEM214	144	35	72	231	145	146
TMEM215	0	0	0	0	0	0
TMEM216	13	4	6	23	22	8
TMEM217	0	0	0	0	0	0
TMEM218	49	9	8	94	43	33
TMEM219	18	5	12	30	20	27
TMEM220	7	1	1	13	4	8
TMEM221	1	0	1	1	0	1
TMEM222	62	5	12	89	90	65
TMEM225	0	0	0	0	0	0
TMEM229A	0	0	0	0	0	0
TMEM229B	23	6	4	42	33	13
TMEM230	41	10	20	76	47	50
TMEM231	38	8	6	74	39	37
TMEM232	0	0	0	0	0	0
TMEM233	0	0	0	0	0	0
TMEM234	109	12	13	190	141	104
TMEM235	0	0	0	1	3	0
TMEM236	0	0	0	0	1	0
TMEM237	42	6	17	100	72	45
TMEM238	33	5	5	24	27	25
TMEM239	0	0	1	2	2	1
TMEM240	1	2	2	6	1	0
TMEM241	6	2	1	20	6	8
TMEM242	71	6	9	124	89	57
TMEM243	12	2	7	33	42	32
TMEM245	114	14	30	297	234	125
TMEM246	0	0	0	0	0	0
TMEM247	0	0	0	0	0	0
TMEM248	175	58	90	274	224	214
TMEM25	3	1	0	9	7	3
TMEM251	18	10	14	29	39	56
TMEM252	0	0	0	0	0	0
TMEM253	0	0	0	3	0	0
TMEM255A	0	0	1	1	0	0
TMEM255B	0	0	0	0	0	0
TMEM256	93	22	42	104	71	78
TMEM258	136	22	38	141	123	80
TMEM259	308	85	180	556	410	291
TMEM26	0	0	0	0	0	0
TMEM260	13	2	3	18	15	11
TMEM261	23	4	1	35	25	24
TMEM262	0	0	0	0	1	0
TMEM263	75	10	28	92	61	59
TMEM265	2	3	1	2	2	6
TMEM266	8	1	1	2	3	1
TMEM267	0	0	0	0	1	0
TMEM268	19	2	9	25	22	28
TMEM27	0	0	0	0	0	0
TMEM30A	242	43	174	450	352	292
TMEM30B	0	0	0	0	0	0
TMEM33	105	15	35	251	137	128
TMEM35A	0	0	0	0	0	0
TMEM35B	3	1	3	19	7	7
TMEM37	0	0	0	0	0	0
TMEM38A	18	1	7	39	23	17
TMEM38B	16	5	2	58	33	15
TMEM39A	74	19	22	108	100	86
TMEM39B	50	12	19	81	74	43
TMEM40	21	1	1	29	6	4
TMEM41A	24	3	5	28	24	14
TMEM41B	75	5	10	81	92	76
TMEM42	3	1	2	8	8	4
TMEM43	164	38	54	357	175	131
TMEM44	25	6	3	70	35	39
TMEM45A	0	0	0	0	0	0
TMEM45B	1	0	0	0	0	0
TMEM47	0	0	0	0	0	0
TMEM5	60	31	46	108	69	55
TMEM50A	133	29	39	292	151	114
TMEM50B	19	3	4	57	35	23
TMEM51	3	1	3	2	1	0
TMEM52	0	0	0	1	0	0
TMEM52B	0	0	0	0	0	0
TMEM53	4	1	4	16	9	4
TMEM54	1	1	0	2	0	0
TMEM55A	102	21	51	103	79	77
TMEM55B	146	27	65	214	146	164
TMEM56	0	0	0	4	1	1
TMEM57	84	20	31	119	121	139
TMEM59	313	44	58	717	366	353
TMEM59L	0	0	2	0	0	0
TMEM60	23	2	4	53	44	24
TMEM62	5	0	5	18	17	15
TMEM63A	178	14	25	316	175	140
TMEM63B	187	56	103	408	255	172
TMEM63C	2	2	4	0	0	0
TMEM64	31	9	31	66	41	33
TMEM65	98	9	18	145	135	129
TMEM67	22	0	2	33	30	20
TMEM68	13	1	6	32	32	27
TMEM69	14	1	5	20	16	15
TMEM70	85	9	3	135	90	102
TMEM71	14	0	0	18	10	3
TMEM72	1	0	0	0	0	0
TMEM74	2	0	0	1	1	1
TMEM74B	0	0	0	0	0	0
TMEM79	86	7	13	98	55	32
TMEM80	16	2	1	24	25	11
TMEM81	16	1	0	43	40	30
TMEM82	0	0	1	0	1	0
TMEM86A	24	1	1	26	10	7
TMEM86B	4	0	0	10	5	5
TMEM87A	95	15	44	242	159	161
TMEM87B	78	3	19	337	155	116
TMEM88	0	0	0	1	2	1
TMEM88B	0	0	0	1	2	2
TMEM89	0	0	0	0	0	0
TMEM8B	10	9	10	44	27	17
TMEM8C	0	0	0	0	0	0
TMEM9	288	32	56	629	295	310
TMEM91	0	0	1	10	5	6
TMEM92	0	0	0	0	0	0
TMEM94	165	20	37	269	188	103
TMEM95	0	0	0	1	0	0
TMEM97	161	19	28	121	123	96
TMEM98	10	9	5	21	13	9
TMEM9B	37	13	20	94	68	79
TMF1	105	22	59	137	120	101
TMIE	57	3	0	207	39	14
TMIGD1	0	0	0	0	0	0
TMIGD3	0	0	0	0	0	0
TMOD1	1	0	1	9	0	0
TMOD2	1	0	0	0	0	0
TMOD3	178	36	92	259	196	162
TMOD4	1	0	0	11	8	4
TMPO	549	34	104	481	442	326
TMPPE	10	2	1	38	29	19
TMPRSS11A	0	0	0	0	0	0
TMPRSS11B	0	1	1	0	0	0
TMPRSS11D	0	0	0	0	0	0
TMPRSS11E	42	0	4	7	5	5
TMPRSS11F	1	0	0	0	0	0
TMPRSS12	0	0	0	0	0	0
TMPRSS13	0	0	0	0	0	0
TMPRSS15	0	0	0	0	0	0
TMPRSS2	1	0	0	1	0	0
TMPRSS3	0	0	1	1	0	0
TMPRSS4	0	0	0	0	0	0
TMPRSS5	0	0	0	0	0	0
TMPRSS6	1	0	0	3	2	1
TMPRSS7	0	0	0	0	0	0
TMPRSS9	2	0	0	0	0	1
TMSB10	882	188	371	506	459	437
TMSB15A	0	0	0	0	0	0
TMSB4X	832	512	833	813	493	637
TMTC1	0	0	0	3	3	0
TMTC2	0	0	0	2	1	1
TMTC3	115	10	37	240	219	165
TMTC4	66	26	52	80	61	45
TMUB1	28	4	5	40	36	21
TMUB2	107	10	35	210	127	98
TMX1	168	21	61	259	196	172
TMX2	95	13	15	168	163	124
TMX3	141	30	64	270	310	258
TMX4	133	18	37	169	120	108
TNC	48	87	175	55	92	97
TNF	0	0	0	2	1	1
TNFAIP1	306	14	39	439	326	237
TNFAIP2	1177	56	109	1330	712	474
TNFAIP3	141	10	16	106	61	59
TNFAIP6	2	10	15	2	3	0
TNFAIP8	102	10	15	94	83	47
TNFAIP8L1	28	1	2	14	13	3
TNFAIP8L2	1	1	1	2	0	1
TNFAIP8L3	0	0	0	0	0	0
TNFRSF10B	106	13	13	160	148	134
TNFRSF11A	4	0	0	7	4	2
TNFRSF11B	0	0	2	4	1	0
TNFRSF12A	595	157	238	381	452	447
TNFRSF13B	0	0	0	0	0	0
TNFRSF13C	2	0	0	2	3	3
TNFRSF14	3	0	0	11	8	5
TNFRSF17	0	0	0	0	0	0
TNFRSF18	4	0	0	2	1	0
TNFRSF19	24	0	0	12	14	13
TNFRSF1A	159	14	18	404	223	169
TNFRSF1B	100	6	12	260	106	63
TNFRSF21	24	14	21	232	89	64
TNFRSF25	0	1	0	4	4	5
TNFRSF4	1	2	0	2	4	2
TNFRSF8	0	0	0	0	0	0
TNFRSF9	8	1	0	16	8	9
TNFSF10	2	1	0	19	19	13
TNFSF11	0	0	0	0	0	0
TNFSF12	0	4	7	1	4	2
TNFSF13	2	0	0	17	6	8
TNFSF13B	0	0	0	2	3	0
TNFSF14	0	0	0	0	0	0
TNFSF15	0	0	0	0	0	0
TNFSF18	0	0	0	1	0	0
TNFSF4	0	0	0	0	0	0
TNFSF8	0	0	0	1	0	0
TNFSF9	21	2	4	73	42	15
TNIK	13	8	19	17	9	16
TNIP1	241	47	78	401	206	156
TNIP2	36	11	11	101	74	36
TNIP3	1	0	0	6	1	0
TNK1	44	5	2	138	62	45
TNK2	287	29	76	242	162	168
TNKS	202	12	40	403	285	250
TNKS1BP1	420	94	156	652	471	367
TNKS2	444	39	94	778	565	391
TNMD	0	0	0	0	0	0
TNN	0	0	12	0	0	0
TNNC1	5	1	1	11	17	7
TNNC2	1	0	0	2	0	0
TNNI1	0	1	1	0	0	0
TNNI2	3	3	0	3	1	2
TNNI3	0	0	1	0	2	0
TNNI3K	0	0	0	0	0	1
TNNT1	0	0	0	0	0	0
TNNT2	135	61	135	27	25	55
TNNT3	1	1	1	2	0	0
TNP1	0	0	0	0	0	0
TNP2	0	0	0	0	0	0
TNPO1	427	62	142	606	596	475
TNPO2	364	115	301	569	621	540
TNPO3	243	44	114	295	247	232
TNR	7	17	19	2	0	2
TNRC18	610	85	181	1448	958	771
TNRC6A	159	27	114	349	269	276
TNRC6B	97	18	59	254	178	135
TNRC6C	133	28	77	340	249	231
TNS1	12	4	17	6	0	6
TNS2	321	54	74	507	228	244
TNS3	617	52	75	613	383	312
TNS4	1057	36	73	1987	582	369
TNXB	28	1	2	61	12	14
TOB1	56	13	37	179	116	105
TOB2	55	7	19	107	98	87
TOE1	41	3	8	59	59	38
TOLLIP	150	19	51	305	201	202
TOM1	29	12	44	103	88	88
TOM1L1	41	6	3	93	69	33
TOM1L2	176	36	54	496	405	353
TOMM20	395	36	77	517	503	357
TOMM20L	0	0	0	0	0	0
TOMM22	330	35	68	334	264	217
TOMM34	163	18	18	234	127	92
TOMM40	213	67	99	207	207	219
TOMM40L	109	17	23	104	65	79
TOMM5	90	11	12	120	140	95
TOMM6	143	24	38	187	148	130
TOMM7	153	26	63	158	151	109
TONSL	183	41	36	307	193	156
TOP1	263	53	126	342	293	270
TOP1MT	13	2	2	23	19	11
TOP2A	2695	170	427	1219	1474	1002
TOP2B	247	48	133	376	319	279
TOP3A	44	6	7	73	61	41
TOP3B	100	20	40	182	126	83
TOPAZ1	0	0	0	0	0	0
TOPBP1	488	42	72	409	423	326
TOPORS	101	12	33	192	115	83
TOR1A	78	27	30	138	109	70
TOR1AIP1	107	8	26	443	278	228
TOR1AIP2	244	35	86	422	335	290
TOR1B	103	12	17	142	154	115
TOR2A	31	7	6	76	58	35
TOR3A	110	16	18	266	230	185
TOR4A	272	23	40	323	169	103
TOX	0	0	0	0	0	0
TOX2	0	0	0	0	0	0
TOX3	0	0	0	0	0	0
TOX4	174	29	65	296	202	168
TPBG	125	24	56	245	153	150
TPBGL	0	0	0	0	0	0
TPCN1	220	40	171	508	207	166
TPCN2	11	2	1	23	20	11
TPD52	162	16	26	277	184	136
TPD52L1	35	4	4	94	52	33
TPD52L2	217	33	52	380	291	234
TPGS1	49	9	21	86	49	38
TPGS2	19	9	28	13	11	22
TPH1	0	0	0	0	0	0
TPH2	0	0	0	1	0	0
TPI1	2074	216	438	1753	1292	824
TPK1	3	1	0	10	7	3
TPM1	742	103	173	1220	950	930
TPM2	92	43	119	66	49	57
TPM3	515	111	235	440	377	347
TPM4	939	115	325	1219	815	790
TPMT	10	1	0	10	9	4
TPO	0	0	0	0	0	0
TPP1	115	39	53	438	298	257
TPP2	297	42	116	332	269	247
TPPP	1	0	0	11	4	2
TPPP2	0	0	0	0	0	0
TPPP3	14	40	33	26	22	13
TPR	656	79	134	1102	899	679
TPRA1	97	23	27	164	107	72
TPRKB	33	1	4	38	30	31
TPRN	35	7	15	74	67	50
TPSAB1	0	0	0	0	0	0
TPSB2	0	0	0	0	0	0
TPSG1	0	0	0	0	0	0
TPST1	89	13	39	71	65	58
TPST2	143	40	84	139	110	129
TPT1	3861	677	1021	5583	5238	3727
TPTE	0	0	0	0	0	0
TPX2	545	40	109	224	290	191
TRA2A	276	40	75	319	268	249
TRA2B	359	48	109	360	369	314
TRABD	117	24	27	179	107	81
TRABD2B	0	0	1	2	0	3
TRADD	56	4	9	91	43	34
TRAF1	129	14	22	282	132	74
TRAF2	60	13	12	150	97	72
TRAF3	156	29	51	199	190	145
TRAF3IP1	53	4	10	74	50	41
TRAF3IP2	94	6	11	251	99	90
TRAF3IP3	0	0	0	1	1	0
TRAF4	206	28	53	238	164	117
TRAF5	31	0	6	39	20	29
TRAF6	63	2	9	109	67	49
TRAF7	468	80	177	624	411	356
TRAFD1	83	27	37	262	151	112
TRAIP	28	2	11	32	43	35
TRAK1	126	15	58	191	125	115
TRAK2	75	11	18	142	118	111
TRAM1	212	38	57	328	208	160
TRAM1L1	0	0	0	0	0	0
TRAM2	55	11	8	90	83	69
TRANK1	0	0	1	0	0	0
TRAP1	334	42	81	362	287	200
TRAPPC1	127	31	83	110	84	64
TRAPPC10	118	18	62	226	165	148
TRAPPC11	129	10	27	214	126	84
TRAPPC12	129	18	44	161	91	67
TRAPPC13	70	12	45	179	167	127
TRAPPC2	8	3	3	31	12	18
TRAPPC2L	49	21	18	69	52	39
TRAPPC3	106	37	39	155	100	104
TRAPPC3L	0	0	1	0	0	0
TRAPPC4	78	10	23	133	73	56
TRAPPC5	66	12	28	87	81	69
TRAPPC6A	143	18	24	145	111	62
TRAPPC6B	66	15	18	118	101	95
TRAPPC8	82	14	31	140	125	109
TRAPPC9	167	31	36	302	185	122
TRAT1	0	0	0	0	0	0
TRDMT1	23	2	3	12	14	14
TRDN	0	0	0	0	0	0
TREH	0	0	0	0	0	0
TREM1	0	0	0	0	0	0
TREM2	0	0	0	4	5	2
TREML1	0	0	0	1	0	0
TREML2	0	0	0	0	0	0
TREML4	0	0	0	0	0	0
TREX1	23	1	1	70	33	31
TREX2	0	0	0	0	0	0
TRH	0	0	0	0	0	0
TRHDE	0	0	0	0	0	0
TRHR	0	0	0	0	0	0
TRIAP1	31	0	10	58	44	33
TRIB1	200	10	51	637	251	256
TRIB2	137	17	37	487	133	122
TRIB3	131	32	12	332	606	339
TRIL	0	0	0	0	0	0
TRIM10	0	0	0	0	0	0
TRIM11	67	8	22	213	115	93
TRIM13	5	3	3	8	6	8
TRIM14	29	3	0	34	25	8
TRIM15	0	0	0	0	1	0
TRIM16	95	8	26	91	68	48
TRIM17	0	0	0	3	0	0
TRIM2	50	13	49	80	54	57
TRIM21	12	2	6	32	39	23
TRIM23	34	4	13	82	67	37
TRIM24	95	9	28	115	93	68
TRIM25	273	19	29	624	405	214
TRIM26	103	12	50	284	154	107
TRIM27	224	81	124	215	207	183
TRIM28	880	190	337	1299	1029	888
TRIM29	1	1	6	5	5	1
TRIM3	84	43	58	201	136	139
TRIM31	0	0	0	0	0	0
TRIM32	61	13	35	108	75	72
TRIM33	99	17	48	228	161	157
TRIM35	321	43	82	549	511	449
TRIM36	1	0	3	4	3	7
TRIM37	205	23	54	234	202	144
TRIM38	0	0	0	0	0	0
TRIM39	60	15	35	159	120	91
TRIM40	1	0	0	0	0	0
TRIM41	186	42	81	227	194	176
TRIM42	0	0	0	0	0	0
TRIM44	178	14	43	347	282	199
TRIM45	14	1	2	32	11	21
TRIM46	3	1	3	18	27	24
TRIM47	245	53	91	390	256	138
TRIM5	0	0	0	1	0	0
TRIM50	0	0	0	0	0	0
TRIM52	0	0	0	0	0	0
TRIM54	5	1	0	5	6	2
TRIM55	0	0	0	0	0	0
TRIM56	182	16	31	451	305	207
TRIM58	0	0	0	0	0	0
TRIM59	104	11	40	106	90	72
TRIM6	3	0	0	11	1	1
TRIM60	0	0	0	0	0	0
TRIM61	0	0	0	0	0	0
TRIM62	5	1	2	15	8	1
TRIM63	0	0	0	0	0	0
TRIM65	28	7	12	36	16	13
TRIM66	1	1	8	1	1	0
TRIM67	0	0	0	0	0	0
TRIM68	19	1	3	29	20	10
TRIM69	0	0	0	0	4	2
TRIM7	13	0	6	37	21	15
TRIM71	20	1	2	39	25	18
TRIM72	0	0	3	2	2	2
TRIM8	405	105	274	603	343	223
TRIM9	1	0	0	0	0	0
TRIML1	0	0	0	0	0	0
TRIML2	1	0	0	0	0	0
TRIO	150	31	103	420	317	276
TRIOBP	651	112	203	676	445	275
TRIP10	208	30	37	334	183	122
TRIP11	101	12	31	301	171	121
TRIP12	653	142	320	1015	787	728
TRIP13	69	6	8	26	70	46
TRIP4	30	10	10	93	63	74
TRIP6	236	30	41	464	291	222
TRIQK	0	0	0	0	0	0
TRIT1	37	6	18	63	47	54
TRMO	1	0	1	6	4	1
TRMT1	174	42	54	331	300	228
TRMT10A	53	3	11	51	40	27
TRMT10B	17	2	1	35	25	20
TRMT10C	19	1	7	58	64	43
TRMT11	13	4	4	32	30	29
TRMT112	125	9	9	198	122	80
TRMT12	5	1	8	24	10	11
TRMT13	9	4	6	29	29	38
TRMT1L	74	11	29	186	113	113
TRMT2A	92	14	19	120	108	71
TRMT2B	32	4	4	82	34	33
TRMT44	19	2	5	28	32	29
TRMT5	38	1	12	33	36	25
TRMT6	36	10	9	75	58	85
TRMT61A	24	7	8	51	54	58
TRMU	17	2	7	23	16	17
TRNAU1AP	88	36	45	106	96	83
TRNP1	1	1	0	5	0	6
TRNT1	70	9	26	103	94	81
TRO	0	0	0	0	0	0
TROAP	124	8	13	43	50	38
TROVE2	122	11	11	344	193	138
TRPA1	0	0	0	0	0	0
TRPC1	14	1	4	16	16	19
TRPC3	0	0	0	0	0	0
TRPC4	0	0	0	0	0	0
TRPC4AP	398	98	124	607	382	330
TRPC5	0	0	1	0	0	0
TRPC5OS	1	0	0	0	1	0
TRPC6	0	0	0	0	0	0
